I_Observations,MSE_VA,MSE_MIMO,MSE_ILS,CRB_VA,CRB_MIMO
4.0,0.05189324431912344,0.04224980865957237,0.27266571146275903,0.0024752475247524753,0.001443894389438944
5.0,0.025052532259097506,0.015546585305248415,0.19828479742883645,0.0019801980198019802,0.0011551155115511551
6.0,0.041884060740618415,0.00891351866661681,0.24799141685881348,0.0016501650165016502,0.0009625962596259627
7.0,0.023951244346929378,0.01286203711781705,0.21856026889724844,0.0014144271570014145,0.0008250825082508252
8.0,0.014460790927744535,0.00982416034179181,0.06466950313363695,0.0012376237623762376,0.000721947194719472
9.0,0.011465704310815769,0.010307757524229997,0.1042985766387973,0.0011001100110011,0.0006417308397506417
10.0,0.010960590911026503,0.01943087756962576,0.2903413262573898,0.0009900990099009901,0.0005775577557755776
11.0,0.010221082006173056,0.007182990667555359,0.04556897856634749,0.0009000900090009,0.000525052505250525
12.0,0.008922788760265974,0.006328896861542086,0.23816528627023867,0.0008250825082508251,0.00048129812981298134
13.0,0.015869692610484872,0.006513435457191579,0.13690274410203038,0.0007616146230007616,0.00044427519675044433
14.0,0.011036463566315944,0.008304303939851782,0.23737311016491808,0.0007072135785007072,0.0004125412541254126
15.0,0.013184795067765036,0.005793121274576446,0.19340579988820583,0.0006600660066006601,0.00038503850385038506
16.0,0.008153258849501955,0.005027253939824193,0.18635978726998237,0.0006188118811881188,0.000360973597359736
17.0,0.02094293400650518,0.008384094606241203,0.45153129016402893,0.0005824111822947001,0.00033973985633857506
18.0,0.007144503340104975,0.004396339303732674,0.1831570766125136,0.00055005500550055,0.00032086541987532086
19.0,0.007486728209303854,0.004523558538942322,0.16234443432537,0.0005211047420531526,0.0003039777661976724
20.0,0.006470693432038837,0.0035496356930578266,0.037437292722288296,0.0004950495049504951,0.0002887788778877888
21.0,0.0081222870086624,0.004416198108453526,0.1742100025965993,0.0004714757190004715,0.00027502750275027507
