Error_StdDev,MSE_VA,MSE_MIMO,MSE_ILS,CRB_VA,CRB_MIMO
0.05,0.012250068432207266,0.008096358061858292,0.07850643609564624,0.0016501650165016502,0.0009625962596259627
0.1,0.012485551195853928,0.007728769123289465,0.04876555520221919,0.0016501650165016502,0.0009625962596259627
0.15000000000000002,0.011504418449562888,0.00825026171937107,0.0628505985499962,0.0016501650165016502,0.0009625962596259627
0.2,0.0160468407447503,0.028330088693347747,0.20693827757089342,0.0016501650165016502,0.0009625962596259627
0.25,0.02761790990748644,0.015742498079016433,0.09109509670353969,0.0016501650165016502,0.0009625962596259627
0.3,0.031597187269308054,0.015997656622595627,0.19964190482213826,0.0016501650165016502,0.0009625962596259627
0.35000000000000003,0.023705415334598006,0.02873218239390572,0.2899282638815276,0.0016501650165016502,0.0009625962596259627
0.4,0.020751981073808237,0.02422857940938985,0.25050457487796246,0.0016501650165016502,0.0009625962596259627
0.45,0.05126405422120456,0.04104733529887691,0.7346980376439324,0.0016501650165016502,0.0009625962596259627
0.5,0.07318003390534748,0.04145395074578759,0.9203173981366582,0.0016501650165016502,0.0009625962596259627
